지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
11710,7,63.79,10,55000,1,기타동,ㅇ,10.91510665,59,40
41670,10,58.74,3,9200,0,기타동,ㅅ,9.127067453,55,39
45113,4,59.48,1,7300,0,기타동,ㅅ,8.895766604,57,29
41271,5,114.59,10,29700,1,사동,ㅅ,10.29893599,60,34
44825,1,49.85,13,10600,0,기타동,ㅈ,9.268703615,58,40
28260,10,46.41,1,10000,0,기타동,ㄷ,9.210440367,62,31
11680,1,114.83,18,93400,1,기타동,ㅅ,11.44465733,55,39
46770,4,49.3542,8,12000,0,기타동,ㄱ,9.392745259,62,58
41570,11,107.5928,22,36250,1,장기동,ㅊ,10.49822225,59,52
48123,9,76.17,6,35800,1,반림동,ㄴ,10.4857311,58,47
41285,3,74.52,1,20100,0,중산동,ㅈ,9.908524844,55,35
28140,11,59.75,17,21400,0,기타동,ㅅ,9.971192929,57,49
30230,5,73.42,13,33200,1,기타동,ㅅ,10.41033527,62,39
48310,12,47.31,4,13600,0,기타동,ㅈ,9.517898598,60,32
36110,4,84.84,11,14450,0,기타동,ㅅ,9.578518895,56,39
48129,11,84.9833,1,22650,0,기타동,ㅎ,10.02795928,58,45
30230,8,84.45,14,14700,0,기타동,ㄱ,9.595670798,59,31
41210,7,47.1,3,76000,1,철산동,ㅈ,11.23850178,60,25
46130,5,84.985,4,19500,0,기타동,ㅅ,9.878221025,62,31
41210,3,84.95,27,139500,1,기타동,ㅇ,11.84582705,62,59
41410,4,54.27,4,21800,0,금정동,ㅅ,9.989711119,60,30
28260,12,52.65,2,16700,0,기타동,ㄹ,9.723223877,58,25
43111,1,59.76,9,13000,0,용암동,ㅌ,9.472781557,63,35
11680,9,49.639,7,89850,1,기타동,ㅊ,11.40590802,55,52
29200,3,49.83,22,13500,0,운남동,ㅇ,9.510519036,59,41
48240,10,76.995,7,13500,0,기타동,ㅅ,9.510519036,60,49
28237,1,84.87,1,38700,1,부평동,ㄷ,10.56362072,60,26
42210,11,84.96,13,17000,0,교동,ㄷ,9.741027445,57,37
30110,1,40.5993,14,8500,0,기타동,ㅍ,9.047939083,56,40
48240,4,76.525,2,6800,0,기타동,ㅌ,8.824824939,57,34
