전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1,
80.99,5,61,47,0,0,0,0,0,0,1,0,0,0,1,9.729193687,
84.9647,8,59,55,0,0,0,0,0,0,0,0,1,0,1,10.4659849,
41.52,2,60,20,0,0,0,0,0,0,0,0,0,0,1,8.006700845,
68.5,13,57,35,0,0,0,0,0,0,0,0,0,1,1,8.867990898,
58.01,12,56,29,0,0,0,0,1,0,0,0,0,0,1,10.17736224,
59.78,18,56,45,1,0,0,0,0,0,0,0,0,0,0,10.73641841,
70.709,17,62,58,0,0,0,0,0,0,0,0,1,0,0,10.06479825,
114.781,2,57,48,0,0,0,0,0,0,0,0,0,0,1,10.51599393,
52.14,4,57,55,0,1,0,0,0,0,0,0,0,0,0,10.04329297,
119.874,5,60,41,0,0,0,0,1,0,0,0,0,0,1,10.40429314,
68.02,5,60,31,0,0,0,0,1,0,0,0,0,0,0,9.798182591,
80.881,2,59,55,0,0,0,0,0,0,0,0,0,1,1,9.44943601,
84.9959,24,59,44,0,0,0,0,1,0,0,0,0,0,0,10.71221535,
49.94,10,60,30,0,0,0,0,1,0,0,0,0,0,0,10.57134257,
59.78,11,56,31,0,0,0,0,0,0,0,0,0,0,0,8.987321813,
59.34,16,57,36,0,0,0,1,0,0,0,0,0,0,0,9.809231817,
71.64,14,55,28,1,0,0,0,0,0,0,0,0,0,0,10.95082409,
47.382,9,57,42,0,0,0,0,0,0,0,0,0,0,0,9.159152335,
39.99,11,58,37,0,0,0,0,1,0,0,0,0,0,0,9.741027445,
84.99,5,60,58,0,0,0,0,1,0,0,0,0,0,1,10.72548958,
59.73,5,56,35,0,0,0,0,0,0,0,0,1,0,1,9.148571346,
119.88,12,56,42,0,0,0,0,0,0,0,0,0,0,1,10.16589028,
84.9811,18,59,56,0,0,0,0,0,0,0,0,1,0,1,10.29556342,
64.32,9,60,56,0,0,0,0,0,0,0,0,0,0,1,9.821789309,
120.97,5,60,44,1,0,0,0,0,0,0,0,0,0,1,11.80560254,
130.945,2,60,32,0,0,0,0,1,0,0,0,0,0,0,10.37352243,
84.73,11,56,41,0,0,0,0,1,0,0,0,0,0,0,10.17355286,
129.155,14,55,35,0,0,0,0,0,0,0,0,0,1,1,9.908524844,
43.92,19,57,37,1,0,0,0,0,0,0,0,0,0,1,10.41334271,
84.9876,6,55,46,1,0,0,0,0,0,0,0,0,0,1,11.73206903,
49.62,10,62,38,0,0,0,0,0,0,0,0,0,0,1,9.539716059,
59.854,3,58,38,0,0,0,0,1,0,0,0,0,0,1,9.44943601,
44.88,12,59,44,1,0,0,0,0,0,0,0,0,0,1,10.71221535,
59.976,14,62,54,0,0,0,0,1,0,0,0,0,0,1,10.07748288,
51.02,1,60,29,0,0,0,0,0,0,0,0,0,0,0,8.987321813,
59.884,11,60,37,0,0,0,0,0,0,1,0,0,0,1,9.047939083,
84.98,13,58,46,1,0,0,0,0,0,0,0,0,0,0,11.91839724,
79.0967,21,59,43,0,0,0,0,1,0,0,0,0,0,0,10.31893599,
62.55,2,62,22,0,0,0,0,0,0,0,0,0,0,1,8.94910547,
84.773,16,57,53,0,0,0,0,0,0,0,0,1,0,1,10.47731614,
84.94,13,59,35,1,0,0,0,0,0,0,0,0,0,1,10.6501992,
84.9927,2,58,56,0,0,1,0,0,0,0,0,0,0,1,10.37975279,
73.3245,3,58,54,0,0,0,0,0,0,0,0,1,0,0,10.05410342,
59.05,5,59,48,0,0,0,0,1,0,0,0,0,0,0,9.989711119,
35.1,5,60,32,0,0,0,0,1,0,0,0,0,0,0,10.09414923,
59.56,14,56,44,0,0,0,0,0,0,0,1,0,0,1,9.220389708,
59.98,2,60,40,0,0,0,0,0,0,0,0,0,1,1,8.794976432,
58.65,8,59,40,0,0,0,0,0,0,0,0,0,0,0,9.093918909,
99.956,7,55,40,0,0,0,0,1,0,0,0,0,0,1,10.16396542,
75.649,3,60,44,0,0,0,0,0,0,0,0,0,0,1,9.249657234,
84.95,5,60,54,0,0,0,0,0,0,0,0,0,0,1,10.25065242,
135.67,3,58,47,1,0,0,0,0,0,0,0,0,0,1,12.23077014,
84.988,15,62,48,0,0,0,0,0,0,0,0,0,0,1,10.21467861,
84.9368,11,55,44,0,0,0,1,0,0,0,0,0,0,1,10.07327252,
124.84775,22,57,48,0,1,0,0,0,0,0,0,0,0,1,10.49130199,
122.095,11,55,29,0,0,0,0,1,0,0,0,0,0,1,10.43414521,
84.99,5,60,46,0,0,0,0,1,0,0,0,0,0,0,10.68512626,
65.16,4,58,26,0,0,0,0,0,1,0,0,0,0,1,9.08262063,
84.9888,5,59,58,0,0,0,0,0,0,0,0,0,1,1,10.02131503,
84.32,17,55,39,0,0,1,0,0,0,0,0,0,0,0,10.19619448,
49.44,14,63,40,0,0,0,0,1,0,0,0,0,0,1,9.903537551,
59.84,7,60,37,0,0,0,0,0,0,0,0,0,0,1,9.546884035,
59.9492,13,58,56,0,0,0,0,1,0,0,0,0,0,1,9.798182591,
84.9707,9,62,57,0,0,0,0,0,0,0,0,0,0,1,10.16589028,
59.99,15,55,50,1,0,0,0,0,0,0,0,0,0,0,10.62864199,
59.67,7,59,37,0,0,0,0,0,0,1,0,0,0,1,9.210440367,
59.9988,2,62,44,0,0,0,0,1,0,0,0,0,0,1,10.05195066,
72.572,24,59,57,0,0,0,0,0,0,0,0,0,0,1,10.18115717,
84.956,15,56,52,0,0,0,0,0,0,0,0,0,0,1,10.04329297,
59.76,12,56,38,0,0,0,0,1,0,0,0,0,0,1,9.989711119,
59.87,3,57,33,0,0,0,0,0,0,0,1,0,0,1,8.853808275,
46.625,3,59,20,0,0,1,0,0,0,0,0,0,0,1,9.602450025,
84.9126,9,59,52,0,0,0,0,0,0,0,1,0,0,1,9.758519582,
60,9,62,37,0,0,1,0,0,0,0,0,0,0,1,9.781376414,
84.76,15,58,31,0,0,0,0,0,0,0,0,0,0,1,10.15622874,
