기준_년분기_코드,상권_구분_코드,상권_코드,서비스_업종_코드,당월_매출_금액,당월_매출_건수,주말_매출_금액,월요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,주중_매출_건수,월요일_매출_건수,일요일_매출_건수,시간대_건수~11_매출_건수,시간대_건수~21_매출_건수
20224,A,3110630,CS100010,75755518.0,7401,19012755.0,8603789.0,8407970.0,1995702.0,12574464.0,21204718.0,26533027.0,603401,10051122,15194356.0,5000,939,1112,803,1879
20224,A,3110522,CS100010,6598325.0,1438,1515531.0,862284.0,430054.0,0.0,2646733.0,106152.0,3856103.0,64164,1054798,1129202.0,1187,234,38,468,27
20224,R,3130204,CS100010,68911251.0,14542,26893727.0,8448731.0,13103571.0,0.0,21142660.0,14939357.0,37970176.0,1166423,8996325,20342553.0,9295,1828,2442,2762,2842
20224,R,3130086,CS200001,26863992.0,83,0.0,7865218.0,0.0,0.0,0.0,13692362.0,24875058.0,0,0,0.0,83,22,0,0,46
20224,A,3110667,CS100010,78339948.0,20269,23532710.0,10329189.0,10364265.0,0.0,20805943.0,21786622.0,40092895.0,2620861,20484137,22244921.0,14191,2788,2616,3698,5341
20224,A,3110606,CS100010,72000000.0,17118,25778408.0,8461244.0,11900926.0,0.0,20431874.0,16212913.0,35685116.0,1803523,11771923,19343669.0,11206,2181,2786,3825,3681
20224,D,3120089,CS100010,253578013.0,61097,84200256.0,29209730.0,38213870.0,0.0,84820049.0,51013838.0,154307301.0,9932597,69697302,73782679.0,42008,7892,8316,12557,12010
20224,D,3120193,CS100010,632905798.0,65964,86577673.0,98352365.0,34833668.0,0.0,342080993.0,45625141.0,273895816.0,4617451,92905302,173558459.0,56675,10502,3595,11759,4593
20224,D,3120178,CS100010,2588818715.0,359465,467721078.0,346226043.0,145459768.0,45907864.0,1036290583.0,363342144.0,1189970516.0,26093424,644595234,694081835.0,303055,52627,16540,93360,45210
20224,A,3111059,CS100010,216417794.0,40109,69395013.0,21529305.0,27347789.0,0.0,77208959.0,38374648.0,102937411.0,587238,46461462,54477128.0,28270,4486,4941,9063,5983
