업소명,소재지,위도,경도
마왕족발 영도점,"부산광역시 영도구 남항로 6-1, (남항동2가)",35.08983938,129.0373322
페리카나(동삼점),"부산광역시 영도구 태종로 688-2, (동삼동)",35.07222036,129.0751772
케네디로즈,"부산광역시 영도구 웃서발로 79, (동삼동,근생2호)",35.07907303,129.0708811
수림커피비어,"부산광역시 영도구 태종로 71, (대교동1가)",35.09268326,129.0389146
서민통닭,"부산광역시 영도구 동삼서로 46, (동삼동)",35.08290568,129.0696702
교촌치킨(봉래 영선점),"부산광역시 영도구 한결길 12, 1층 (영선동1가)",35.09140644,129.0448315
티바두마리치킨,"부산광역시 영도구 웃서발로 16-1, (동삼동)",35.08214225,129.0673135
남항점굽네치킨,"부산광역시 영도구 절영로93번길 25-1, (남항동2가)",35.08764999,129.0403641
네네치킨,"부산광역시 영도구 남항로 24-2, (남항동2가)",35.08914788,129.0391329
비비큐,"부산광역시 영도구 동삼로28번길 9, (동삼동)",35.07668322,129.0720231
멕시카나치킨,"부산광역시 영도구 와치로 213, 절영아파트 2층 208호 (동삼동)",35.07644095,129.0657699
교촌치킨,"부산광역시 영도구 태종로 352, (청학동)",35.09532569,129.0636798
드 메르(De Mer),"부산광역시 영도구 절영로 15, (대교동2가)",35.09295118,129.040256
굽네치킨 동삼점,"부산광역시 영도구 동삼로 79, (동삼동)",35.08053827,129.0703191
썬더치킨,"부산광역시 영도구 절영로13번길 58-1, (영선동1가,, 5-10)",35.09193465,129.0431603
BHC(비에이치씨),"부산광역시 영도구 남항로 28, (남항동2가)",35.08904667,129.0393729
청학점 굽네치킨,"부산광역시 영도구 태종로 260, (청학동)",35.09800388,129.0563553
고추먹은닭,"부산광역시 영도구 동삼로 35, (동삼동)",35.07662692,129.0712548
성광 맛횟집,"부산광역시 영도구 태종로105번길 40-4, (봉래동3가)",35.09275333,129.0433463
네네치킨영도동삼점,"부산광역시 영도구 동삼로59번길 15, (동삼동)",35.07845404,129.0695243
자매통닭,"부산광역시 영도구 절영로49번길 31, (남항동1가)",35.08947195,129.0402337
초이스,"부산광역시 영도구 동삼로 69-1, (동삼동)",35.07965636,129.070154
코리엔탈깻잎두마리치킨&모락로제떡볶이 청학동삼점,"부산광역시 영도구 청학동로 75, (청학동)",35.09385243,129.0641323
통티닭강정영선점,"부산광역시 영도구 절영로 119-1, (영선동3가)",35.08557691,129.0424432
티바 두마리치킨,"부산광역시 영도구 남도여중길 126, (신선동2가)",35.0873297,129.0451085
효명통닭,"부산광역시 영도구 동삼서로 60, (동삼동)",35.08325418,129.0710345
소문난 안동찜닭,"부산광역시 영도구 조내기로 38, 상가2동 106호 (청학동, 영도 원우엔리치빌 아파트)",35.0853815,129.0628487
옛날통닭,"부산광역시 영도구 남항로41번길 18-4, (영선동2가)",35.08924508,129.0414591
또봉이통닭,"부산광역시 영도구 동삼서로 32, (동삼동)",35.08185455,129.0692726
김해통닭,"부산광역시 영도구 동삼로 34, (동삼동)",35.07666016,129.0715732
멕시카나치킨영선점,"부산광역시 영도구 꿈나무길 238, (영선동3가)",35.08633868,129.0429574
영도불닭&크레이지덕,"부산광역시 영도구 동삼북로 3, 2층 201호 (동삼동, 동삼1주공상가)",35.08304485,129.0692224
달리는꼬꼬,"부산광역시 부산진구 연지로 5, (연지동)",35.17074405,129.0504355
남다른썬치킨 신암1호점,"부산광역시 부산진구 신암로 73, 1층 (범천동)",35.14804353,129.0539405
당감점굽네치킨,"부산광역시 부산진구 당감서로 118-1, (당감동)",35.16922001,129.0337742
통큰맘모스치킨,"부산광역시 부산진구 백양대로 235, (개금동)",35.15700853,129.0250145
